"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4106","Данные по заказам не авторизированного пользователя","","Sun Jun 15 08:54:51 MSK 2025","passed","Sun Jun 15 08:54:55 MSK 2025","","site.stellarburgers.nomoreparties.tests.UserOrderTest","site.stellarburgers.nomoreparties.tests.UserOrderTest","testPostOrder"
"","3781","Создание заказа с авторизацией и валидными ингредиентами","","Sun Jun 15 08:54:41 MSK 2025","passed","Sun Jun 15 08:54:45 MSK 2025","","site.stellarburgers.nomoreparties.tests.OrderTest","site.stellarburgers.nomoreparties.tests.OrderTest","testCreateOrderValidIngredientsAuthUser"
"","1210","Создание заказа с авторизацией и без ингредиентов","","Sun Jun 15 08:54:37 MSK 2025","passed","Sun Jun 15 08:54:39 MSK 2025","","site.stellarburgers.nomoreparties.tests.OrderTest","site.stellarburgers.nomoreparties.tests.OrderTest","testCreateOrderEmptyIngredientsAuthUser"
"","1609","Данные по заказам авторизированного пользователя","","Sun Jun 15 08:54:55 MSK 2025","passed","Sun Jun 15 08:54:56 MSK 2025","","site.stellarburgers.nomoreparties.tests.UserOrderTest","site.stellarburgers.nomoreparties.tests.UserOrderTest","testGetOrderAuthUser"
"","1205","Создание заказа без авторизации и валидными ингредиентами","","Sun Jun 15 08:54:36 MSK 2025","passed","Sun Jun 15 08:54:37 MSK 2025","","site.stellarburgers.nomoreparties.tests.OrderTest","site.stellarburgers.nomoreparties.tests.OrderTest","testCreateOrderValidIngredientsNotAuthUser"
"","1072","Авторизация пользователя с неверным логином и паролем","","Sun Jun 15 08:54:35 MSK 2025","passed","Sun Jun 15 08:54:36 MSK 2025","","site.stellarburgers.nomoreparties.tests.AuthTest","site.stellarburgers.nomoreparties.tests.AuthTest","testLoginIncorrectUser"
"","5104","Авторизация пользователя","","Sun Jun 15 08:54:30 MSK 2025","passed","Sun Jun 15 08:54:35 MSK 2025","","site.stellarburgers.nomoreparties.tests.AuthTest","site.stellarburgers.nomoreparties.tests.AuthTest","testLoginUser"
"","1091","Изменение данных не авторизированного пользователя","","Sun Jun 15 08:54:45 MSK 2025","passed","Sun Jun 15 08:54:46 MSK 2025","","site.stellarburgers.nomoreparties.tests.UserCrudTest","site.stellarburgers.nomoreparties.tests.UserCrudTest","testChangedDataNotAuthorizedUser"
"","1775","Создание пользователя","","Sun Jun 15 08:54:49 MSK 2025","passed","Sun Jun 15 08:54:51 MSK 2025","","site.stellarburgers.nomoreparties.tests.UserCrudTest","site.stellarburgers.nomoreparties.tests.UserCrudTest","testCreateUniqueUser"
"","1191","Изменение данных авторизированного пользователя","","Sun Jun 15 08:54:46 MSK 2025","passed","Sun Jun 15 08:54:47 MSK 2025","","site.stellarburgers.nomoreparties.tests.UserCrudTest","site.stellarburgers.nomoreparties.tests.UserCrudTest","testChangedDataAuthorizedUser"
"","388","Создание существующего пользователя","","Sun Jun 15 08:54:47 MSK 2025","passed","Sun Jun 15 08:54:48 MSK 2025","","site.stellarburgers.nomoreparties.tests.UserCrudTest","site.stellarburgers.nomoreparties.tests.UserCrudTest","testCreateExistingUser"
"","1193","Создание заказа с авторизацией и неверным хешем ингредиентов","","Sun Jun 15 08:54:39 MSK 2025","passed","Sun Jun 15 08:54:40 MSK 2025","","site.stellarburgers.nomoreparties.tests.OrderTest","site.stellarburgers.nomoreparties.tests.OrderTest","testCreateOrderInvalidIngredientHashAuthUser"
"","1356","Создание заказа с авторизацией и не валидными ингредиентами","","Sun Jun 15 08:54:40 MSK 2025","passed","Sun Jun 15 08:54:41 MSK 2025","","site.stellarburgers.nomoreparties.tests.OrderTest","site.stellarburgers.nomoreparties.tests.OrderTest","testCreateOrderNotValidIngredientsAuthUser"
"","1082","Создание пользователя без email","","Sun Jun 15 08:54:48 MSK 2025","passed","Sun Jun 15 08:54:49 MSK 2025","","site.stellarburgers.nomoreparties.tests.UserCrudTest","site.stellarburgers.nomoreparties.tests.UserCrudTest","testCreateUserEmptyEmail"
